director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mark Waters,Addison Rae,Tanner Buchanan,Madison Pettis,Romance Comedy,he's all that,Addison Rae Tanner Buchanan Madison Pettis Mark Waters Romance Comedy
Amber Sealey,Elijah Wood,Luke Kirby,Aleksa Palladino,Crime History Drama,no man of god,Elijah Wood Luke Kirby Aleksa Palladino Amber Sealey Crime History Drama
Vibeke Muasya,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay),Siobhan Fallon Hogan,Robert Patrick,Thriller Drama,rushed,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay) Siobhan Fallon Hogan Robert Patrick Vibeke Muasya Thriller Drama
Stephen Herek,Victoria Justice,Midori Francis,Timothy Renouf,Fantasy Comedy Drama,afterlife of the party,Victoria Justice Midori Francis Timothy Renouf Stephen Herek Fantasy Comedy Drama
Destin Daniel Cretton,Simu Liu,Awkwafina,Meng'er Zhang,Action Adventure Fantasy,shang-chi and the legend of the ten rings,Simu Liu Awkwafina Meng'er Zhang Destin Daniel Cretton Action Adventure Fantasy
"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter",Kay Cannon (director/screenwriter); Camila Cabello,Idina Menzel,Nicholas Galitzine,Family Fantasy Animation Romance,cinderella,"Kay Cannon (director/screenwriter); Camila Cabello Idina Menzel Nicholas Galitzine Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter Family Fantasy Animation Romance"
Sara Colangelo,Michael Keaton,Stanley Tucci,Amy Ryan,History Drama,worth,Michael Keaton Stanley Tucci Amy Ryan Sara Colangelo History Drama
Michele Civetta,Shea Whigham,Olivia Munn,Frank Grillo,Crime Drama Action,the gateway,Shea Whigham Olivia Munn Frank Grillo Michele Civetta Crime Drama Action
"Lyle Mitcell Corbine, Jr.",Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,Crime Drama Thriller,wild indian,"Michael Greyeyes Chaske Spencer Jesse Eisenberg Lyle Mitcell Corbine, Jr. Crime Drama Thriller"
Sean King O'Grady,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick,Vinessa Shaw,Pat Healy,Horror Mystery,we need to do something,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick Vinessa Shaw Pat Healy Sean King O'Grady Horror Mystery
Cedric Nicolas-Troyan,Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,Action,kate,Mary Elizabeth Winstead Miku Martineau Woody Harrelson Cedric Nicolas-Troyan Action
Jonathan Butterell,Max Harwood,Sarah Lancashire,Lauren Patel,Drama Comedy,everybody's talking about jamie,Max Harwood Sarah Lancashire Lauren Patel Jonathan Butterell Drama Comedy
James Wan,Annabelle Wallis,Maddie Hasson,George Young,Horror Mystery Thriller,malignant,Annabelle Wallis Maddie Hasson George Young James Wan Horror Mystery Thriller
"Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn",Kristen Bell,Kirby Howell-Baptiste,Paul Walter Hauser,Comedy Crime,queenpins,"Kristen Bell Kirby Howell-Baptiste Paul Walter Hauser Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn Comedy Crime"
Paul Schrader,Oscar Isaac,Tiffany Haddish,Tye Sheridan,Drama Crime Thriller,the card counter,Oscar Isaac Tiffany Haddish Tye Sheridan Paul Schrader Drama Crime Thriller
Christopher Ashley,Petrina Bromley,Jenn Colella,De'Lon Grant,Comedy Drama,come from away,Petrina Bromley Jenn Colella De'Lon Grant Christopher Ashley Comedy Drama
Michael Mohan,Sydney Sweeney,Justice Smith,Ben Hardy,Thriller,the voyeurs,Sydney Sweeney Justice Smith Ben Hardy Michael Mohan Thriller
John Pollono,Jon Bernthal,Shea Whigham,Jordana Spiro,Drama Thriller Comedy,small engine repair,Jon Bernthal Shea Whigham Jordana Spiro John Pollono Drama Thriller Comedy
Natalie Morales,Natalie Morales (director/screenplay),Mark Duplass (screenplay),Natalie Morales,Drama Comedy Romance,language lessons,Natalie Morales (director/screenplay) Mark Duplass (screenplay) Natalie Morales Natalie Morales Drama Comedy Romance
Rick Altizer,Rick Altizer (director); Sherman Smith,Tony Evans,Steven Kendrick,Documentary,show me the father,Rick Altizer (director); Sherman Smith Tony Evans Steven Kendrick Rick Altizer Documentary
Michael Feifer,Jay Pickett,Peter Facinelli,Tom Skerritt,Western Action,catch the bullet,Jay Pickett Peter Facinelli Tom Skerritt Michael Feifer Western Action
Jonah Feingold,Francesca Reale,Jaboukie Young-White,Catherine Cohen,Comedy Romance,dating and new york,Francesca Reale Jaboukie Young-White Catherine Cohen Jonah Feingold Comedy Romance
"Scott B. Hansen, Desiree Connell",Zach Galligan,Derek Russo,Corey Taylor,Horror,bad candy,"Zach Galligan Derek Russo Corey Taylor Scott B. Hansen, Desiree Connell Horror"
Kevin T. Morales,Bridget McGarry,Victoria Leigh,Okieriete Onaodowan,Comedy Drama,generation wrecks,Bridget McGarry Victoria Leigh Okieriete Onaodowan Kevin T. Morales Comedy Drama
Christian Carion,James McAvoy,Claire Foy,Gary Lewis,Thriller Mystery Drama Crime,my son,James McAvoy Claire Foy Gary Lewis Christian Carion Thriller Mystery Drama Crime
David Yarovesky,Winslow Fegley,Lidya Jewett,Krysten Ritter,Fantasy Family Horror,nightbooks,Winslow Fegley Lidya Jewett Krysten Ritter David Yarovesky Fantasy Family Horror
Theodore Melfi,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,Drama,the starling,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy Chris O'Dowd Timothy Olyphant Theodore Melfi Drama
Michael Showalter,Jessica Chastain,Andrew Garfield,Cherry Jones,Drama History,the eyes of tammy faye,Jessica Chastain Andrew Garfield Cherry Jones Michael Showalter Drama History
Clint Eastwood,Clint Eastwood,Dwight Yoakam,Eduardo Minett,Drama Western,cry macho,Clint Eastwood Dwight Yoakam Eduardo Minett Clint Eastwood Drama Western
Joe Carnahan,Gerard Butler,Frank Grillo,Alexis Louder,Thriller Crime Action,copshop,Gerard Butler Frank Grillo Alexis Louder Joe Carnahan Thriller Crime Action
Justin Chon,Justin Chon,Alicia Vikander,Mark O'Brien,Drama,blue bayou,Justin Chon Alicia Vikander Mark O'Brien Justin Chon Drama
Sion Sono,Nicolas Cage,Sofia Boutella,Bill Moseley,Action Fantasy Horror Western Drama Comedy Crime Science Fiction Adventure,prisoners of the ghostland,Nicolas Cage Sofia Boutella Bill Moseley Sion Sono Action Fantasy Horror Western Drama Comedy Crime Science Fiction Adventure
Lina Roessler,Michael Caine,Aubrey Plaza,Scott Speedman,Comedy Drama,best sellers,Michael Caine Aubrey Plaza Scott Speedman Lina Roessler Comedy Drama
"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán",Melanie Lynskey,Judy Greer,Justin Long,Comedy Fantasy,lady of the manor,"Melanie Lynskey Judy Greer Justin Long Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán Comedy Fantasy"
Bill Benz,Annie Clark,Carrie Brownstein,Dakota Johnson,Comedy Drama Music,the nowhere inn,Annie Clark Carrie Brownstein Dakota Johnson Bill Benz Comedy Drama Music
"Betsy West, Julie Cohen",Betsy West,Julie Cohen (director); Talleah Bridges McMahon,Julie Cohen,Documentary,my name is pauli murray,"Betsy West Julie Cohen (director); Talleah Bridges McMahon Julie Cohen Betsy West, Julie Cohen Documentary"
David Midell,Frankie Faison,Steve O'Connell,Enrico Natale,Mystery Thriller Drama,the killing of kenneth chamberlain,Frankie Faison Steve O'Connell Enrico Natale David Midell Mystery Thriller Drama
Adam Salky,Freida Pinto,Logan Marshall-Green,Robert John Burke,Thriller,intrusion,Freida Pinto Logan Marshall-Green Robert John Burke Adam Salky Thriller
"Robert Cullen, Jose Ucha",Vanessa Hudgens,Kimiko Glenn,James Marsden,Animation Family Fantasy Comedy Adventure,my little pony: a new generation,"Vanessa Hudgens Kimiko Glenn James Marsden Robert Cullen, Jose Ucha Animation Family Fantasy Comedy Adventure"
Stephen Chbosky,Ben Platt,Kaitlyn Dever,Amandla Stenberg,Drama,dear evan hansen,Ben Platt Kaitlyn Dever Amandla Stenberg Stephen Chbosky Drama
Antoine Fuqua,Jake Gyllenhaal,Ethan Hawke,Riley Keough,Drama Thriller,the guilty,Jake Gyllenhaal Ethan Hawke Riley Keough Antoine Fuqua Drama Thriller
Sarah Adina Smith,Kristine Froseth,Diana Silvers,Jacqueline Bisset,Drama,birds of paradise,Kristine Froseth Diana Silvers Jacqueline Bisset Sarah Adina Smith Drama
Castille Landon,Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,Romance Drama,after we fell,Josephine Langford Hero Fiennes Tiffin Louise Lombard Castille Landon Romance Drama
Andy Serkis,Tom Hardy,Michelle Williams,Naomie Harris,Science Fiction Action Adventure,venom: let there be carnage,Tom Hardy Michelle Williams Naomie Harris Andy Serkis Science Fiction Action Adventure
Alan Taylor,Alessandro Nivola,Michael Gandolfini,Leslie Odom Jr.,Crime Drama,the many saints of newark,Alessandro Nivola Michael Gandolfini Leslie Odom Jr. Alan Taylor Crime Drama
"Conrad Vernon, Greg Tiernan",Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Animation Adventure Comedy Family Fantasy Horror,the addams family 2,"Oscar Isaac Charlize Theron Chloë Grace Moretz Conrad Vernon, Greg Tiernan Animation Adventure Comedy Family Fantasy Horror"
Gigi Saul Guerrero,L. Scott Caldwell,Adriana Barraza,Joshua Caleb Johnson,Thriller Horror,bingo hell,L. Scott Caldwell Adriana Barraza Joshua Caleb Johnson Gigi Saul Guerrero Thriller Horror
Maritte Lee Go,Ashja Cooper,Theodus Crane,Kenneisha Thompson,Horror Thriller,black as night,Ashja Cooper Theodus Crane Kenneisha Thompson Maritte Lee Go Horror Thriller
Potsy Ponciroli,Tim Blake Nelson,Scott Haze,Gavin Lewis,Action Western Thriller,old henry,Tim Blake Nelson Scott Haze Gavin Lewis Potsy Ponciroli Action Western Thriller
Erwin brothers,Amy Grant,Michael W. Smith,TobyMac,Documentary Music,the jesus music,Amy Grant Michael W. Smith TobyMac Erwin brothers Documentary Music
Karen Cinorre,Grace Van Patten,Mia Goth,Havana Rose Liu,Mystery Fantasy Thriller Action Drama,mayday,Grace Van Patten Mia Goth Havana Rose Liu Karen Cinorre Mystery Fantasy Thriller Action Drama
Vance Null,David A. R. White,Antonio Sabàto Jr.,Francesca Battistelli,Drama,god's not dead: we the people,David A. R. White Antonio Sabàto Jr. Francesca Battistelli Vance Null Drama
Patrick Brice,Sydney Park,Theodore Pellerin,Asjha Cooper,Thriller Horror Mystery,there's someone inside your house,Sydney Park Theodore Pellerin Asjha Cooper Patrick Brice Thriller Horror Mystery
Cary Joji Fukunaga,Daniel Craig,Rami Malek,Léa Seydoux,Adventure Action Thriller,no time to die,Daniel Craig Rami Malek Léa Seydoux Cary Joji Fukunaga Adventure Action Thriller
Fran Kranz,Reed Birney,Ann Dowd,Jason Isaacs,Drama Crime History,mass,Reed Birney Ann Dowd Jason Isaacs Fran Kranz Drama Crime History
Aharon Keshales,Jason Sudeikis,Evangeline Lilly,Shea Whigham,Crime Thriller Drama Romance,south of heaven,Jason Sudeikis Evangeline Lilly Shea Whigham Aharon Keshales Crime Thriller Drama Romance
"Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger",Axelle Carolyn (director/screenwriter); Barbara Hershey,Bruce Davison,Stacey Travis,Horror,the manor,"Axelle Carolyn (director/screenwriter); Barbara Hershey Bruce Davison Stacey Travis Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger Horror"
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween kills,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
Ridley Scott,Matt Damon,Adam Driver,Jodie Comer,Action Drama History,the last duel,Matt Damon Adam Driver Jodie Comer Ridley Scott Action Drama History
John Ridley,Leslie Odom Jr.,Freida Pinto,Cynthia Erivo,Science Fiction Romance,needle in a timestack,Leslie Odom Jr. Freida Pinto Cynthia Erivo John Ridley Science Fiction Romance
Justin Corsbie,Michael Dorman,Sophia Bush,Dermot Mulroney,Romance Music Drama Thriller,hard luck love song,Michael Dorman Sophia Bush Dermot Mulroney Justin Corsbie Romance Music Drama Thriller
Adam Randall,Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Horror Thriller Action,night teeth,Jorge Lendeborg Jr. Debby Ryan Lucy Fry Adam Randall Horror Thriller Action
Denis Villeneuve,Timothee Chalamet,Rebecca Ferguson,Oscar Isaac,Science Fiction Adventure,dune,Timothee Chalamet Rebecca Ferguson Oscar Isaac Denis Villeneuve Science Fiction Adventure
"Sarah Smith, Jean-Philippe Vine",Zach Galifianakis,Jack Dylan Grazer,Ed Helms,Animation Science Fiction Family Comedy,ron's gone wrong,"Zach Galifianakis Jack Dylan Grazer Ed Helms Sarah Smith, Jean-Philippe Vine Animation Science Fiction Family Comedy"
Wes Anderson,Benicio del Toro,Adrien Brody,Tilda Swinton,Comedy Drama Romance,the french dispatch,Benicio del Toro Adrien Brody Tilda Swinton Wes Anderson Comedy Drama Romance
Jeymes Samuel,Jonathan Majors,Idris Elba,Zazie Beetz,Western,the harder they fall,Jonathan Majors Idris Elba Zazie Beetz Jeymes Samuel Western
Will Sharpe,Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Drama History Comedy,the electrical life of louis wain,Benedict Cumberbatch Claire Foy Andrea Riseborough Will Sharpe Drama History Comedy
Agata Alexander,Alex Pettyfer,Alice Eve,Annabelle Wallis,Science Fiction,warning,Alex Pettyfer Alice Eve Annabelle Wallis Agata Alexander Science Fiction
Rebecca Hall,Tessa Thompson,Ruth Negga,André Holland,Drama,passing,Tessa Thompson Ruth Negga André Holland Rebecca Hall Drama
"Matt Angel, Suzanne Coote",Kate Siegel,Jason O'Mara,Dulé Hill,Thriller Drama Horror,hypnotic,"Kate Siegel Jason O'Mara Dulé Hill Matt Angel, Suzanne Coote Thriller Drama Horror"
Scott Cooper,Keri Russell,Jesse Plemons,Jeremy T. Thomas,Drama Horror Mystery,antlers,Keri Russell Jesse Plemons Jeremy T. Thomas Scott Cooper Drama Horror Mystery
Matthias Schweighöfer,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee,Crime Comedy,army of thieves,Matthias Schweighöfer Nathalie Emmanuel Ruby O. Fee Matthias Schweighöfer Crime Comedy
Amy Koppelman,Amanda Seyfried,Finn Wittrock,Jennifer Carpenter,Drama,a mouthful of air,Amanda Seyfried Finn Wittrock Jennifer Carpenter Amy Koppelman Drama
Joanna Hogg,Honor Swinton Byrne,Jaygann Ayeh,Richard Ayoade,Drama,the souvenir part ii,Honor Swinton Byrne Jaygann Ayeh Richard Ayoade Joanna Hogg Drama
William Eubank,Emily Bader,Roland Buck III,Dan Lippert,Horror Mystery Thriller,paranormal activity: next of kin,Emily Bader Roland Buck III Dan Lippert William Eubank Horror Mystery Thriller
"Philip Gelatt, Morgan Galen King",Richard E. Grant,Lucy Lawless,Patton Oswalt,Animation Fantasy Action,the spine of night,"Richard E. Grant Lucy Lawless Patton Oswalt Philip Gelatt, Morgan Galen King Animation Fantasy Action"
Justine Bateman,Olivia Munn,Luke Bracey,Justin Theroux,Thriller Crime Drama Action Comedy,violet,Olivia Munn Luke Bracey Justin Theroux Justine Bateman Thriller Crime Drama Action Comedy
Michael Mailer,Michael Shannon,Alexander Ludwig,Charles Melton,Drama,heart of champions,Michael Shannon Alexander Ludwig Charles Melton Michael Mailer Drama
Chloé Zhao,Gemma Chan,Richard Madden,Kumail Nanjiani,Science Fiction Action Adventure,eternals,Gemma Chan Richard Madden Kumail Nanjiani Chloé Zhao Science Fiction Action Adventure
Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Gal Gadot,Action Comedy Crime Thriller,red notice,Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber Action Comedy Crime Thriller
Pablo Larraín,Kristen Stewart,Timothy Spall,Jack Farthing,Drama,spencer,Kristen Stewart Timothy Spall Jack Farthing Pablo Larraín Drama
David Hackl,Mel Gibson,Scott Eastwood,Tyrese Gibson,Action Thriller,dangerous,Mel Gibson Scott Eastwood Tyrese Gibson David Hackl Action Thriller
Hernán Jiménez,Nina Dobrev,Jimmy O. Yang,Darren Barnet,Comedy Romance,love hard,Nina Dobrev Jimmy O. Yang Darren Barnet Hernán Jiménez Comedy Romance
"Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr",Jim Cummings,Virginia Newcomb,PJ McCabe,Thriller Horror Comedy,the beta test,"Jim Cummings Virginia Newcomb PJ McCabe Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr Thriller Horror Comedy"
Walt Becker,Jack Whitehall,Darby Camp,Tony Hale,Family Adventure Comedy Fantasy,clifford the big red dog,Jack Whitehall Darby Camp Tony Hale Walt Becker Family Adventure Comedy Fantasy
Lin-Manuel Miranda,Andrew Garfield,Alexandra Shipp,Robin de Jesús,Drama Music,"tick, tick... boom!",Andrew Garfield Alexandra Shipp Robin de Jesús Lin-Manuel Miranda Drama Music
Dan Mazer,Ellie Kemper,Rob Delaney,Archie Yates,Family Comedy Action,home sweet home alone,Ellie Kemper Rob Delaney Archie Yates Dan Mazer Family Comedy Action
Jane Campion,Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,Drama Western,the power of the dog,Benedict Cumberbatch Kirsten Dunst Jesse Plemons Jane Campion Drama Western
Halle Berry,Halle Berry,Shamier Anderson,Adan Canto,Drama,bruised,Halle Berry Shamier Anderson Adan Canto Halle Berry Drama
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Romance Comedy,the princess switch 3: romancing the star,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Romance Comedy
Jason Reitman,Carrie Coon,Finn Wolfhard,Mckenna Grace,Fantasy Comedy Adventure,ghostbusters: afterlife,Carrie Coon Finn Wolfhard Mckenna Grace Jason Reitman Fantasy Comedy Adventure
Reinaldo Marcus Green,Will Smith,Aunjanue Ellis,Saniyya Sidney,Drama History,king richard,Will Smith Aunjanue Ellis Saniyya Sidney Reinaldo Marcus Green Drama History
"David Silverman, Raymond S. Persi",Adam DeVine,Rachel Bloom,Zazie Beetz,Animation Comedy Family Adventure,extinct,"Adam DeVine Rachel Bloom Zazie Beetz David Silverman, Raymond S. Persi Animation Comedy Family Adventure"
Mike Mills,Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Drama,c'mon c'mon,Joaquin Phoenix Gaby Hoffmann Woody Norman Mike Mills Drama
Casey Tebo,Devon Sawa,Ivana Baquero,Ryan Lee,Horror Comedy Science Fiction,black friday,Devon Sawa Ivana Baquero Ryan Lee Casey Tebo Horror Comedy Science Fiction
Brian Patrick Butler,Nick Young,Alexandra Slade,Michael C. Burgess,Comedy Science Fiction Horror,friend of the world,Nick Young Alexandra Slade Michael C. Burgess Brian Patrick Butler Comedy Science Fiction Horror
"Byron Howard, Jared Bush, Chasire Castro Smith",Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Animation Comedy Family Fantasy,encanto,"Stephanie Beatriz María Cecilia Botero John Leguizamo Byron Howard, Jared Bush, Chasire Castro Smith Animation Comedy Family Fantasy"
Ridley Scott,Lady Gaga,Adam Driver,Jared Leto,Drama Crime History,house of gucci,Lady Gaga Adam Driver Jared Leto Ridley Scott Drama Crime History
Nora Fingscheidt,Sandra Bullock,Vincent D'Onofrio,Jon Bernthal,Drama Crime,the unforgivable,Sandra Bullock Vincent D'Onofrio Jon Bernthal Nora Fingscheidt Drama Crime
Johannes Roberts,Kaya Scodelario,Hannah John-Kamen,Robbie Amell,Horror Science Fiction Action,resident evil: welcome to raccoon city,Kaya Scodelario Hannah John-Kamen Robbie Amell Johannes Roberts Horror Science Fiction Action
Michael Dowse,Neil Patrick Harris,Winslow Fegley,June Diane Raphael,Family Comedy,8-bit christmas,Neil Patrick Harris Winslow Fegley June Diane Raphael Michael Dowse Family Comedy
Stephen Karam,Richard Jenkins,Jayne Houdyshell,Amy Schumer,Drama,the humans,Richard Jenkins Jayne Houdyshell Amy Schumer Stephen Karam Drama
Trey Parker,Matt Stone,Mona Marshall,Kimberly Brooks,Animation Comedy TV Movie,south park: post covid,Matt Stone Mona Marshall Kimberly Brooks Trey Parker Animation Comedy TV Movie
Paul Thomas Anderson,Alana Haim,Cooper Hoffman,Sean Penn,Drama Comedy,licorice pizza,Alana Haim Cooper Hoffman Sean Penn Paul Thomas Anderson Drama Comedy
Michael Mayer,Michael Urie,Philemon Chambers,Luke Macfarlane,Romance Comedy Drama,single all the way,Michael Urie Philemon Chambers Luke Macfarlane Michael Mayer Romance Comedy Drama
Clare Knight,Isla Fisher,Tim Minchin,Eric Bana,Animation Family Adventure Comedy,back to the outback,Isla Fisher Tim Minchin Eric Bana Clare Knight Animation Family Adventure Comedy
Swinton O. Scott III,Brady Noon,Ethan William Childress,Chris Diamantopoulos,Animation Comedy Family,diary of a wimpy kid,Brady Noon Ethan William Childress Chris Diamantopoulos Swinton O. Scott III Animation Comedy Family
Michael Pierce,Riz Ahmed,Octavia Spencer,Janina Gavankar,Adventure Drama Thriller,encounter,Riz Ahmed Octavia Spencer Janina Gavankar Michael Pierce Adventure Drama Thriller
Valerie Weiss,Gemma Brooke Allen,Jackson Rathbone,Nick Thune,Comedy Family,mixtape,Gemma Brooke Allen Jackson Rathbone Nick Thune Valerie Weiss Comedy Family
Jared Cohn,Patrick Muldoon,Bruce Willis,Matthew Marsden,Action Thriller,deadlock,Patrick Muldoon Bruce Willis Matthew Marsden Jared Cohn Action Thriller
Steven Spielberg,Ansel Elgort,Rachel Zegler,Ariana DeBose,Drama Romance Crime,west side story,Ansel Elgort Rachel Zegler Ariana DeBose Steven Spielberg Drama Romance Crime
Adam McKay,Leonardo DiCaprio,Jennifer Lawrence,Rob Morgan,Comedy Science Fiction,don't look up,Leonardo DiCaprio Jennifer Lawrence Rob Morgan Adam McKay Comedy Science Fiction
Ric Roman Waugh,Stephan James,J. K. Simmons,Alexander Ludwig,Drama,national champions,Stephan James J. K. Simmons Alexander Ludwig Ric Roman Waugh Drama
Aaron Sorkin,Nicole Kidman,Javier Bardem,J. K. Simmons,Drama History,being the ricardos,Nicole Kidman Javier Bardem J. K. Simmons Aaron Sorkin Drama History
Sean Baker,Simon Rex,Bree Elrod,Suzanna Son,Comedy Drama,red rocket,Simon Rex Bree Elrod Suzanna Son Sean Baker Comedy Drama
Peter Hutchings,Lucy Hale,Austin Stowell,Damon Daunno,Romance Comedy,the hating game,Lucy Hale Austin Stowell Damon Daunno Peter Hutchings Romance Comedy
Hamish Grieve,Will Arnett,Terry Crews,Geraldine Viswanathan,Animation Family Comedy,rumble,Will Arnett Terry Crews Geraldine Viswanathan Hamish Grieve Animation Family Comedy
Trey Parker,Matt Stone,Mona Marshall,Kimberly Brooks,Animation Comedy TV Movie,south park: post covid: the return of covid,Matt Stone Mona Marshall Kimberly Brooks Trey Parker Animation Comedy TV Movie
Jon Watts,Tom Holland,Benedict Cumberbatch,Zendaya,Action Adventure Science Fiction,spider-man: no way home,Tom Holland Benedict Cumberbatch Zendaya Jon Watts Action Adventure Science Fiction
Guillermo del Toro,Bradley Cooper,Cate Blanchett,Toni Collette,Crime Drama Thriller,nightmare alley,Bradley Cooper Cate Blanchett Toni Collette Guillermo del Toro Crime Drama Thriller
Maggie Gyllenhaal,Olivia Colman,Dakota Johnson,Jessie Buckley,Drama,the lost daughter,Olivia Colman Dakota Johnson Jessie Buckley Maggie Gyllenhaal Drama
Benjamin Cleary,Mahershala Ali,Naomie Harris,Glenn Close,Drama Science Fiction,swan song,Mahershala Ali Naomie Harris Glenn Close Benjamin Cleary Drama Science Fiction
George Clooney,Ben Affleck,Tye Sheridan,Lily Rabe,Drama,the tender bar,Ben Affleck Tye Sheridan Lily Rabe George Clooney Drama
Mattson Tomlin,Chloë Grace Moretz,Algee Smith,Raúl Castillo,Science Fiction Thriller,mother/android,Chloë Grace Moretz Algee Smith Raúl Castillo Mattson Tomlin Science Fiction Thriller
James Cullen Bressack,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress,Jesse Metcalfe Bruce Willis Chad Michael Murray James Cullen Bressack Action Thriller Crime
Garth Jennings,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Animation Adventure Comedy,sing 2,Matthew McConaughey Reese Witherspoon Scarlett Johansson Garth Jennings Animation Adventure Comedy
Lana Wachowski,Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Science Fiction Action Adventure,the matrix resurrections,Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II Lana Wachowski Science Fiction Action Adventure
Matthew Vaughn,Ralph Fiennes,Gemma Arterton,Rhys Ifans,Action Adventure Thriller War Mystery,the king's man,Ralph Fiennes Gemma Arterton Rhys Ifans Matthew Vaughn Action Adventure Thriller War Mystery
Joel Coen,Denzel Washington,Frances McDormand,Bertie Carvel,Drama War,the tragedy of macbeth,Denzel Washington Frances McDormand Bertie Carvel Joel Coen Drama War
Denzel Washington,Michael B. Jordan,Chanté Adams,Jalon Christian,Drama Romance,a journal for jordan,Michael B. Jordan Chanté Adams Jalon Christian Denzel Washington Drama Romance
Erwin brothers,Zachary Levi,Anna Paquin,Dennis Quaid,Drama,american underdog,Zachary Levi Anna Paquin Dennis Quaid Erwin brothers Drama
"Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton, Elkin Díaz, Jeanne Balibar, Juan Pablo Urrego, Daniel Giménez Cacho",Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton,Elkin Díaz,Jeanne Balibar,Drama Science Fiction Mystery,memoria,"Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton Elkin Díaz Jeanne Balibar Apichatpong Weerasethakul (director/acreenplay); Tilda Swinton, Elkin Díaz, Jeanne Balibar, Juan Pablo Urrego, Daniel Giménez Cacho Drama Science Fiction Mystery"
Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Action Thriller,the 355,Jessica Chastain Lupita Nyong'o Penélope Cruz Simon Kinberg Action Thriller
Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,Family Animation Fantasy,the legend of la llorona,Autumn Reeser Antonio Cupo Danny Trejo Patricia Harris Seeley Family Animation Fantasy
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,Horror Mystery Thriller,scream,"Melissa Barrera Mason Gooding Jenna Ortega Matt Bettinelli-Olpin, Tyler Gillett Horror Mystery Thriller"
"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,Animation Comedy Family Fantasy Adventure,hotel transylvania: transformania,"Andy Samberg Selena Gomez Kathryn Hahn Jennifer Kluska, Derek Drymon Animation Comedy Family Fantasy Adventure"
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,shattered,Cameron Monaghan Frank Grillo Lilly Krug Luis Prieto Thriller
